short_description,header_image,categories,genres
"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1145360/header.jpg?t=1758127023,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, Indie, RPG"
UNDERTALE! The RPG game where you don't have to destroy anyone.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/391540/header.jpg?t=1757349115,"Single-player, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Indie, RPG"
Dynamic seasons change everything at the world’s greatest automotive festival. Go it alone or team up with others to explore beautiful and historic Britain in a shared open world.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1293830/header.jpg?t=1734336342,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",Racing
Cities: Skylines is a modern take on the classic city simulation. The game introduces new game play elements to realize the thrill and hardships of creating and maintaining a real city whilst expanding on some well-established tropes of the city building experience.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/255710/header.jpg?t=1774972989,"Single-player, Steam Achievements, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Family Sharing","Simulation, Strategy"
"Experience true combat gameplay in a massive military sandbox. Deploy with a wide variety of single- and multiplayer content, a massive arsenal of modern weapons and vehicles, and limitless opportunities for content creation. Authentic, diverse, open - Arma 3 sends you to war.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/107410/header.jpg?t=1772187330,"Single-player, Multi-player, PvP, Online PvP, LAN PvP, Co-op, Online Co-op, LAN Co-op, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Stats, Steam Leaderboards, Includes level editor, Steam Timeline","Action, Simulation, Strategy"
"Respawn Entertainment gives you the most advanced titan technology in its new, single player campaign &amp; multiplayer experience. Combine &amp; conquer with new titans &amp; pilots, deadlier weapons, &amp; customization and progression systems that help you and your titan flow as one unstoppable killing force.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1237970/header.jpg?t=1726160226,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV",Action
Tomb Raider explores the intense origin story of Lara Croft and her ascent from a young woman to a hardened survivor.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/203160/9e67774e97cdd155f287146e62611eb445514ac6/header.jpg?t=1765220424,"Single-player, Multi-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, Adventure"
"You are an Exile, struggling to survive on the dark continent of Wraeclast, as you fight to earn power that will allow you to exact your revenge against those who wronged you. Path of Exile is an online Action RPG set in a dark fantasy world. The game is completely free and will never be pay-to-win.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/238960/558fd9078de800b7528a8e96bee0108a8fac17aa/header.jpg?t=1773177577,"Single-player, Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, In-App Purchases, Remote Play on Tablet","Action, Adventure, Indie, Massively Multiplayer, RPG, Free To Play"
"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/294100/76e0613b8197327299d5dbabb0a7fd7828a689a2/header.jpg?t=1776194377,"Single-player, Steam Workshop, Adjustable Text Size, Camera Comfort, Custom Volume Controls, Adjustable Difficulty, Mouse Only Option, Playable without Timed Input, Save Anytime, Partial Controller Support, Steam Cloud, Remote Play on Tablet, Family Sharing","Indie, Simulation, Strategy"
The Literature Club is full of cute girls! Will you write the way into their heart? This game is not suitable for children or those who are easily disturbed.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/698780/header.jpg?t=1681943582,"Single-player, Remote Play on Phone, Remote Play on Tablet","Casual, Free To Play, Indie"
Experience a thrilling action RPG set on the supernatural island of Aeternum. Forge your destiny on an adventure filled with danger and opportunity.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1063730/bd98bbdc4fdf388d07afa6ec8d781cb863bccfb0/header.jpg?t=1768500124,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, In-App Purchases, Adjustable Text Size, Camera Comfort, Chat Speech-to-text, Chat Text-to-speech, Color Alternatives, Custom Volume Controls, Keyboard Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Partial Controller Support","Action, Adventure, Massively Multiplayer, RPG"
"The critically acclaimed RPG that raised the bar, from the creators of Baldur's Gate 3. Gather your party. Master deep, tactical combat. Venture as a party of up to four - but know that only one of you will have the chance to become a God.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/435150/3f6ee788cb01bd65097c52399d536eb424b4876f/header.jpg?t=1765811123,"Single-player, Multi-player, PvP, Online PvP, Shared/Split Screen PvP, Co-op, Online Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Includes level editor, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Adventure, RPG, Strategy"
"Join our growing community as you explore, play, and help craft the future of social VR. Create worlds and custom avatars. Welcome to VRChat.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/438100/header.jpg?t=1762366454,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Full controller support, Tracked Controller Support, VR Supported, In-App Purchases","Adventure, Casual, Massively Multiplayer, Simulation, Sports, Free To Play, Early Access"
"Cuphead is a classic run and gun action game heavily focused on boss battles. Inspired by cartoons of the 1930s, the visuals and audio are painstakingly created with the same techniques of the era, i.e. traditional hand drawn cel animation, watercolor backgrounds, and original jazz recordings.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/268910/header.jpg?t=1709068852,"Single-player, Multi-player, Co-op, Shared/Split Screen Co-op, Shared/Split Screen, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Remote Play Together, Family Sharing","Action, Indie"
"An online co-op horror game with up to 6 players. Locate valuable, fully physics-based objects and handle them with care as you retrieve and extract to satisfy your creator's desires.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/3241660/1ea445e044a2d5b09cfa8291350b63ebed6e5741/header.jpg?t=1765552338,"Single-player, Multi-player, Co-op, Online Co-op, Camera Comfort, Custom Volume Controls, Playable without Timed Input, Stereo Sound, Steam Cloud, Family Sharing","Action, Early Access"
"Survival is just the beginning. Six years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors, tracks the president's kidnapped daughter to a secluded European village, where there is something terribly wrong with the locals.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2050650/header.jpg?t=1772502922,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, HDR available, Family Sharing","Action, Adventure"
Counter-Strike: Source blends Counter-Strike's award-winning teamplay action with the advanced technology of Source™ technology.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/240/header.jpg?t=1745368575,"Multi-player, Cross-Platform Multiplayer, Steam Achievements, Camera Comfort, Color Alternatives, Custom Volume Controls, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Valve Anti-Cheat enabled, Stats, Includes Source SDK, Family Sharing",Action
"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/400/header.jpg?t=1745368554,"Single-player, Steam Achievements, Full controller support, Captions available, Camera Comfort, Custom Volume Controls, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Includes level editor, Includes Source SDK, Commentary available, Remote Play on Phone, Remote Play on Tablet, Family Sharing",Action
"Battlefield™ 1 takes you back to The Great War, WW1, where new technology and worldwide conflict changed the face of warfare forever.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1238840/header.jpg?t=1772707296,"Single-player, Multi-player, PvP, Online PvP, Steam Achievements, Full controller support, Steam Trading Cards, HDR available","Action, Massively Multiplayer"
ULTRAKILL is a fast-paced ultra-violent retro FPS that combines the skill-based style scoring of character action games with the unadulterated carnage inspired by the best shooters of the '90s. Rip apart your foes with varied destructive weaponry and shower in their blood to regain your health.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1229490/header.jpg?t=1774188523,"Single-player, Full controller support, Steam Cloud, Family Sharing","Action, Indie, Early Access"
"Dead Cells is a roguelite, metroidvania inspired, action-platformer. You'll explore a sprawling, ever-changing castle... assuming you’re able to fight your way past its keepers in 2D souls-lite combat. No checkpoints. Kill, die, learn, repeat.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/588650/header.jpg?t=1772726488,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, Adventure, Indie"
"Episode 1 now FREE! Life is Strange is an award-winning and critically acclaimed episodic adventure game that allows the player to rewind time and affect the past, present and future.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/319630/header.jpg?t=1772725755,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Custom Volume Controls, Stereo Sound, Subtitle Options, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, Adventure"
"Lost, alone and separated from family, a stray cat must untangle an ancient mystery to escape a long-forgotten cybercity and find their way home.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1332010/header.jpg?t=1733260906,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","Adventure, Indie"
"You’ve fled your home, only to find yourself lost in space with a damaged ship. Your only option is to beam down to the planet below, repair your ship and set off to explore the universe...",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/211820/3ec8855d056d8695de0256594f893a9e3cb826e3/header.jpg?t=1767622909,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Steam Workshop, Family Sharing","Action, Adventure, Casual, Indie, RPG"
"His vengeance against the Gods of Olympus years behind him, Kratos now lives as a man in the realm of Norse Gods and monsters. It is in this harsh, unforgiving world that he must fight to survive… and teach his son to do the same.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1593500/header.jpg?t=1763059412,"Single-player, Steam Achievements, Full controller support, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Keyboard Only Option, Narrated Game Menus, Playable without Timed Input, Save Anytime, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Remote Play on TV, Family Sharing","Action, Adventure, RPG"
Play with life and discover the possibilities. Unleash your imagination and create a world of Sims that’s wholly unique. Explore and customize every detail from Sims to homes–and much more.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1222670/header.jpg?t=1775065624,"Single-player, Steam Trading Cards, In-App Purchases, Mouse Only Option, Playable without Timed Input, Save Anytime, Stereo Sound, Surround Sound, Remote Play on Tablet","Adventure, Casual, Simulation, Free To Play"
"Discover the open world of Hope County, Montana, besieged by a fanatical doomsday cult. Dive into the action solo or two-player co-op in the story campaign, use a vast arsenal of weapons and allies, and free Hope County from Joseph Seed and his cult.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/552520/header.jpg?t=1762190084,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Steam Trading Cards, Captions available, In-App Purchases, Partial Controller Support, Includes level editor, HDR available","Action, Adventure"
"The ultimate Devil Hunter is back in style, in the game action fans have been waiting for.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/601150/header.jpg?t=1768869803,"Single-player, Multi-player, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, HDR available, Family Sharing",Action
Embody the superhuman skill and brutality of a Space Marine. Unleash deadly abilities and devastating weaponry to obliterate the relentless Tyranid swarms. Defend the Imperium in spectacular third-person action in solo or multiplayer modes.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/2183900/header.jpg?t=1774004924,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Adjustable Text Size, Camera Comfort, Color Alternatives, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Family Sharing","Action, Adventure, RPG"
"From one of gaming's most iconic sagas, Halo is bigger than ever. Featuring an expansive open-world campaign and a dynamic free to play multiplayer experience. ",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1240440/2262ffb4f1659df1c1cbf2c70af40560b4fa12e4/header.jpg?t=1774464322,"Multi-player, PvP, Online PvP, LAN PvP, Cross-Platform Multiplayer, Steam Achievements, Full controller support, In-App Purchases, Steam Cloud, Includes level editor, Remote Play on TV","Action, Free To Play"
Relive Half-Life.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/362890/674b9a0e7b31996efd5032dc15e695dbf457d71d/header.jpg?t=1747193649,"Single-player, Multi-player, PvP, Online PvP, Cross-Platform Multiplayer, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Partial Controller Support, Steam Cloud, Includes level editor, Includes Source SDK, Remote Play on Phone, Remote Play on Tablet, Family Sharing","Action, Adventure, Indie"
"Hell is an experiment you can't survive in Outlast, a first-person survival horror game developed by veterans of some of the biggest game franchises in history. As investigative journalist Miles Upshur, explore Mount Massive Asylum and try to survive long enough to discover its terrible secret... if you dare.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/238320/header.jpg?t=1666817106,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Captions available, Steam Cloud, Remote Play on TV, Family Sharing","Action, Adventure, Indie"
"In Kerbal Space Program, take charge of the space program for the alien race known as the Kerbals. You have access to an array of parts to assemble fully-functional spacecraft that flies (or doesn’t) based on realistic aerodynamic and orbital physics.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/220200/header.jpg?t=1738037585,"Single-player, Steam Trading Cards, Steam Workshop, Partial Controller Support, Steam Cloud, Family Sharing","Indie, Simulation"
"Tale of Immortal is an open-world sandbox based on Chinese mythology and cultivation. You will grow to become immortal, conquer the beasts from the Classic of Mountains and Season, make your choices carefully and grasp your own destiny.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1468810/header.jpg?t=1769479020,"Single-player, Steam Achievements, Full controller support, Steam Workshop, Steam Cloud, Remote Play on Tablet, Family Sharing","Action, Adventure, Indie, RPG, Simulation"
"Then, there was fire. Re-experience the critically acclaimed, genre-defining game that started it all. Beautifully remastered, return to Lordran in stunning high-definition detail running at 60fps.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/570940/header.jpg?t=1764975651,"Single-player, Multi-player, Steam Achievements, Full controller support, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing",Action
"Blow off steam and tank turrets in a free-to-play online 7v7 tank shooter! Drive hundreds of tanks, from museum classics to &quot;did-that-ever-exist?&quot; specials, in quick 5 to 7-minute brawls packed with metal mayhem. Play solo or team up with a friend and enjoy smooth action even on modest hardware!",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/444200/a8547da631e0e24002f8dd758a059e3d70fc4f89/header_alt_assets_19.jpg?t=1776073859,"Multi-player, MMO, PvP, Online PvP, Co-op, Online Co-op, Cross-Platform Multiplayer, Steam Trading Cards, In-App Purchases, Camera Comfort, Color Alternatives, Custom Volume Controls, Save Anytime, Stereo Sound, Touch Only Option","Action, Massively Multiplayer, Simulation, Strategy, Free To Play"
"Take to the streets for intense close quarters combat, where a team's survival depends upon securing crucial strongholds and destroying enemy supply in this multiplayer and cooperative Source Engine based experience.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/222880/header.jpg?t=1758742858,"Multi-player, Co-op, Cross-Platform Multiplayer, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Valve Anti-Cheat enabled, Includes level editor, Family Sharing","Action, Indie, Strategy"
"Live a week in the life of &quot;The POSTAL Dude&quot;; a hapless everyman just trying to check off some chores. Buying milk, returning an overdue library book, getting Gary Coleman's autograph, what could possibly go wrong?",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/223470/header.jpg?t=1726251082,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, Steam Cloud, Includes level editor, Family Sharing","Action, Adventure, Indie"
"In KILLING FLOOR 2, players descend into continental Europe after it has been overrun by horrific, murderous clones called Zeds that were created by rogue elements of the Horzine Corporation. 6-player Co-Op &amp; 12-player VS Zed-slaughtering mayhem.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/232090/header.jpg?t=1774538987,"Single-player, Multi-player, PvP, Online PvP, Co-op, Online Co-op, Steam Achievements, Full controller support, Steam Trading Cards, Steam Workshop, In-App Purchases, Valve Anti-Cheat enabled, Includes level editor, Remote Play on Tablet, Remote Play on TV, Family Sharing",Action
Paradise of parkour &amp; rhythm game ★★★ — Muse Dash!!,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/774171/header.jpg?t=1756199346,"Single-player, Partial Controller Support, Steam Cloud, Remote Play on Phone, Remote Play on Tablet, Remote Play on TV, Family Sharing","Action, Casual, Indie"
Lead the members of Expedition 33 on their quest to destroy the Paintress so that she can never paint death again. Explore a world of wonders inspired by Belle Époque France and battle unique enemies in this turn-based RPG with real-time mechanics.,https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/1903340/be3305b02d4db0dffa3458537118423bf2792d7e/header.jpg?t=1773676780,"Single-player, Steam Achievements, Full controller support, Adjustable Text Size, Custom Volume Controls, Adjustable Difficulty, Stereo Sound, Subtitle Options, Surround Sound, Steam Cloud, Family Sharing","Action, RPG"
"THE LONG DARK is a thoughtful, exploration-survival experience that challenges solo players to think for themselves as they explore an expansive frozen wilderness in the aftermath of a geomagnetic disaster. There are no zombies -- only you, the cold, and all the threats Mother Nature can muster.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/305620/header.jpg?t=1775092706,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Remote Play on TV, Family Sharing","Adventure, Indie, Simulation, Strategy"
"In 2013 the world was devastated by an apocalyptic event, annihilating almost all mankind and turning the Earth's surface into a poisonous wasteland. A handful of survivors took refuge in the depths of the Moscow underground, and human civilization entered a new Dark Age. The year is 2033.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/286690/header.jpg?t=1741110084,"Single-player, Steam Achievements, Full controller support, Steam Trading Cards, Steam Cloud, Family Sharing",Action
"Age of Empires II has been re-imagined in high definition. With the release of Age of Empires II: Definitive Edition, this product will not be updated further.",https://shared.akamai.steamstatic.com/store_item_assets/steam/apps/221380/header.jpg?t=1705596928,"Single-player, Multi-player, Steam Achievements, Steam Trading Cards, Captions available, Steam Workshop, Steam Cloud, Stats, Steam Leaderboards, Includes level editor, Family Sharing",Strategy
